age,sex,job,housing,years,saving_account,checking_account,credit_amount,duration,purpose,risk
46,male,1,rent,0.583333333,little,little,730,7.0,radio/TV,1.0
39,male,3,rent,2.0,little,little,3345,24.0,furniture/equipment,0.0
46,male,2,free,4.0,little,little,6331,48.0,car,0.0
24,female,1,own,1.0,little,little,1228,12.0,car,0.0
51,male,2,own,0.916666667,little,moderate,4771,11.0,radio/TV,1.0
44,female,3,free,2.0,little,little,6419,24.0,car,1.0
38,male,2,own,2.0,moderate,moderate,3512,24.0,car,1.0
37,female,2,rent,4.0,little,little,7685,48.0,business,0.0
27,male,1,own,5.0,little,moderate,7418,60.0,radio/TV,1.0
43,male,2,own,2.0,little,little,2197,24.0,car,1.0
22,male,2,rent,2.0,moderate,moderate,3092,24.0,radio/TV,0.0
36,male,1,own,2.0,little,moderate,4241,24.0,business,0.0
31,male,2,own,1.5,little,little,3104,18.0,business,1.0
26,female,2,own,1.5,little,little,2404,18.0,radio/TV,1.0
50,male,2,free,4.0,little,moderate,6224,48.0,education,0.0
54,male,3,own,2.0,rich,little,4591,24.0,business,0.0
30,male,2,free,2.0,quite rich,little,3349,24.0,furniture/equipment,0.0
61,male,1,rent,1.75,moderate,moderate,2767,21.0,business,0.0
31,male,3,rent,1.0,little,little,1963,12.0,radio/TV,1.0
52,male,3,own,1.0,little,moderate,6468,12.0,radio/TV,0.0
49,male,1,own,1.0,little,little,1262,12.0,furniture/equipment,1.0
39,female,2,own,1.75,little,moderate,1188,21.0,business,0.0
44,female,2,own,2.0,little,little,5943,24.0,radio/TV,0.0
26,female,0,rent,1.25,little,moderate,1778,15.0,car,0.0
24,male,2,rent,2.5,moderate,little,6187,30.0,car,1.0
24,female,2,own,0.5,little,little,932,6.0,radio/TV,1.0
21,male,1,rent,2.0,little,little,1987,24.0,radio/TV,0.0
33,female,2,own,1.5,little,moderate,3244,18.0,furniture/equipment,1.0
33,female,1,own,1.0,little,little,797,12.0,radio/TV,0.0
27,male,2,own,1.5,little,little,3850,18.0,car,1.0
27,female,2,own,1.0,little,little,1185,12.0,business,1.0
49,female,2,own,1.0,little,moderate,1092,12.0,radio/TV,1.0
47,male,2,own,1.25,quite rich,little,1213,15.0,radio/TV,1.0
35,male,1,own,2.0,little,little,2684,24.0,radio/TV,1.0
30,male,3,own,2.5,quite rich,little,2333,30.0,radio/TV,1.0
32,female,2,own,0.5,little,little,4611,6.0,furniture/equipment,0.0
47,male,1,own,1.25,quite rich,little,1316,15.0,radio/TV,0.0
26,male,3,own,3.0,little,little,4463,36.0,radio/TV,0.0
38,male,2,own,4.0,little,little,3914,48.0,business,0.0
27,male,1,own,1.0,little,little,1168,12.0,car,1.0
32,male,1,free,1.5,little,little,1442,18.0,car,0.0
28,male,3,own,2.5,little,moderate,4249,30.0,car,0.0
35,female,1,own,1.0,quite rich,little,3447,12.0,education,1.0
34,female,3,own,0.75,little,moderate,1501,9.0,education,0.0
25,male,1,rent,0.833333333,little,little,2210,10.0,furniture/equipment,0.0
25,male,1,own,3.75,little,moderate,4746,45.0,radio/TV,0.0
33,female,2,own,1.5,little,little,1131,18.0,furniture/equipment,0.0
66,male,3,free,1.0,little,little,1526,12.0,car,1.0
22,female,2,own,1.0,little,moderate,1567,12.0,radio/TV,1.0
49,male,2,own,0.833333333,little,little,1038,10.0,car,1.0
39,male,1,own,0.5,little,little,426,6.0,radio/TV,1.0
27,female,2,own,1.5,little,moderate,1295,18.0,furniture/equipment,1.0
44,female,3,free,2.0,little,moderate,12579,24.0,car,0.0
26,male,2,own,3.5,little,little,4370,42.0,radio/TV,0.0
39,female,1,own,0.5,little,moderate,932,6.0,education,1.0
29,male,2,own,3.0,little,little,5179,36.0,furniture/equipment,0.0
30,male,3,rent,0.5,little,moderate,2063,6.0,radio/TV,0.0
53,male,2,free,2.0,little,little,4870,24.0,car,0.0
28,male,3,own,2.5,little,moderate,5234,30.0,car,0.0
25,female,2,own,1.5,little,little,2238,18.0,radio/TV,1.0
26,male,1,own,2.5,moderate,little,4272,30.0,business,1.0
23,male,1,own,2.0,little,moderate,1246,24.0,car,0.0
51,female,2,own,1.0,moderate,little,682,12.0,car,1.0
34,male,1,free,4.0,moderate,moderate,3844,48.0,business,0.0
36,male,3,free,4.0,little,moderate,12169,48.0,car,1.0
66,male,3,own,2.5,little,rich,1908,30.0,business,0.0
27,female,2,own,0.75,little,little,1449,9.0,business,1.0
26,female,2,own,4.0,little,moderate,9960,48.0,furniture/equipment,0.0
31,male,2,rent,3.0,little,little,2302,36.0,radio/TV,0.0
42,male,2,own,1.0,little,little,2577,12.0,furniture/equipment,1.0
30,male,3,own,2.5,moderate,moderate,1919,30.0,radio/TV,0.0
50,male,2,own,1.25,little,moderate,1537,15.0,radio/TV,1.0
40,male,3,own,1.5,little,moderate,4297,18.0,furniture/equipment,0.0
28,male,2,own,1.0,quite rich,rich,939,12.0,car,0.0
25,male,1,own,1.5,little,moderate,866,18.0,radio/TV,1.0
37,male,2,free,3.0,little,little,1819,36.0,education,0.0
28,male,2,own,1.0,little,little,776,12.0,radio/TV,1.0
40,male,1,own,1.0,little,little,701,12.0,radio/TV,1.0
38,male,2,own,0.833333333,little,little,1924,10.0,radio/TV,1.0
26,male,2,own,1.0,little,moderate,1424,12.0,domestic appliances,1.0
31,male,2,own,1.5,little,little,3378,18.0,car,1.0
41,male,1,own,1.0,little,moderate,888,12.0,car,0.0
27,female,0,own,1.5,little,little,750,18.0,education,0.0
36,male,2,own,3.0,little,little,3079,36.0,car,1.0
31,male,2,own,3.0,little,little,2746,36.0,furniture/equipment,0.0
33,male,2,rent,1.75,little,rich,2319,21.0,education,0.0
31,male,2,own,1.5,little,little,2775,18.0,car,0.0
31,male,2,own,1.25,little,little,1360,15.0,radio/TV,1.0
22,female,2,rent,0.75,little,little,1366,9.0,radio/TV,0.0
34,female,1,free,2.0,little,moderate,1837,24.0,education,0.0
25,female,2,own,1.0,little,moderate,2762,12.0,furniture/equipment,0.0
20,male,2,rent,2.0,little,rich,3617,24.0,furniture/equipment,1.0
44,male,2,own,1.5,little,little,1553,18.0,furniture/equipment,0.0
35,male,1,free,3.0,little,little,9055,36.0,education,1.0
28,female,2,own,1.5,moderate,moderate,2278,18.0,car,0.0
66,male,1,own,1.0,quite rich,moderate,766,12.0,radio/TV,0.0
22,male,2,own,0.75,little,little,1478,9.0,radio/TV,0.0
29,male,3,own,2.0,little,moderate,11328,24.0,vacation/others,0.0
30,female,2,own,0.75,little,moderate,918,9.0,furniture/equipment,0.0
23,female,2,own,0.5,little,little,448,6.0,education,0.0
75,male,3,free,2.0,little,little,6615,24.0,car,1.0
36,male,2,own,3.0,little,moderate,2337,36.0,radio/TV,1.0
25,male,2,own,3.25,little,moderate,4933,39.0,radio/TV,0.0
40,male,3,own,2.0,little,little,1358,24.0,vacation/others,0.0
68,male,2,rent,1.5,little,little,6761,18.0,car,0.0
26,male,1,own,0.5,little,little,783,6.0,car,1.0
65,male,2,own,1.75,little,little,571,21.0,car,1.0
27,female,2,rent,1.0,moderate,moderate,951,12.0,furniture/equipment,0.0
29,female,2,own,1.0,little,little,2171,12.0,radio/TV,1.0
23,female,3,rent,2.0,little,moderate,11560,24.0,car,0.0
46,male,2,own,3.0,little,little,2348,36.0,furniture/equipment,1.0
48,male,2,own,1.0,little,little,1082,12.0,car,0.0
30,male,3,own,1.5,little,little,1820,18.0,car,1.0
21,female,2,rent,1.5,little,little,1126,18.0,radio/TV,1.0
37,male,2,free,3.0,little,moderate,12389,36.0,car,0.0
23,male,2,own,1.0,little,little,900,12.0,car,0.0
37,male,2,own,0.833333333,little,rich,1225,10.0,domestic appliances,1.0
43,male,2,rent,1.0,little,little,4843,12.0,car,0.0
63,male,3,free,5.0,little,little,13756,60.0,car,1.0
45,male,1,own,2.333333333,little,little,4006,28.0,car,0.0
57,male,3,free,3.0,little,moderate,14318,36.0,car,0.0
28,male,1,own,0.75,little,little,654,9.0,car,0.0
26,male,2,own,1.0,little,rich,1330,12.0,car,1.0
35,male,2,own,1.25,little,moderate,2728,15.0,radio/TV,1.0
31,male,2,free,4.0,little,little,6110,48.0,education,1.0
45,male,1,own,0.833333333,little,little,1287,10.0,car,1.0
49,male,1,own,1.0,little,little,2096,12.0,education,1.0
