identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/accountAssistance,product/alarmType,product/architecturalReview,product/architectureSupport,product/attachmentType,product/availability,product/availabilityZone,product/bestPractices,product/bundle,product/bundleDescription,product/bundleGroup,product/cacheEngine,product/cacheMemorySizeGb,product/cacheType,product/capacitystatus,product/caseSeverityresponseTimes,product/category,product/ciType,product/classicnetworkingsupport,product/clockSpeed,product/computeFamily,product/computeType,product/contentType,product/countsAgainstQuota,product/cputype,product/currentGeneration,product/customerServiceAndCommunities,product/dataTransferQuota,product/dataType,product/databaseEdition,product/databaseEngine,product/dedicatedEbsThroughput,product/deploymentOption,product/describes,product/description,product/directorySize,product/directoryType,product/directoryTypeDescription,product/durability,product/ecu,product/edition,product/endpointType,product/engineCode,product/enhancedNetworkingSupported,product/equivalentondemandsku,product/feeCode,product/feeDescription,product/fileSystemType,product/freeOverage,product/freeTier,product/freeTrial,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/gets,product/gpu,product/group,product/groupDescription,product/includedServices,product/insightstype,product/instance,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/io,product/launchSupport,product/license,product/licenseModel,product/location,product/locationType,product/logsDestination,product/mailboxStorage,product/marketoption,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/maximumExtendedStorage,product/maximumStorageVolume,product/memory,product/memoryGib,product/memorytype,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/minVolumeSize,product/minimumStorageVolume,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/operationsSupport,product/opsItems,product/origin,product/overageType,product/parameterType,product/physicalProcessor,product/platodataanalyzedtype,product/platopricingtype,product/platopricingunittype,product/platostoragetype,product/platousagetype,product/platovolumetype,product/preInstalledSw,product/pricingUnit,product/proactiveGuidance,product/processorArchitecture,product/processorFeatures,product/productFamily,product/programmaticCaseManagement,product/provisioned,product/queueType,product/recipient,product/region,product/regionCode,product/replicationType,product/requestDescription,product/requestType,product/resourceEndpoint,product/resourceType,product/rootvolume,product/routingTarget,product/routingType,product/runningMode,product/servicecode,product/servicename,product/sku,product/softwareIncluded,product/standardStorageRetentionIncluded,product/steps,product/storage,product/storageClass,product/storageMedia,product/storageType,product/subscriptionType,product/technicalSupport,product/tenancy,product/thirdpartySoftwareSupport,product/throughput,product/throughputCapacity,product/tiertype,product/toLocation,product/toLocationType,product/toRegionCode,product/training,product/transferType,product/type,product/updates,product/usageFamily,product/usagetype,product/uservolume,product/vcpu,product/version,product/volumeApiName,product/volumeType,product/vpcnetworkingsupport,product/whoCanOpenCases,product/withActiveUsers,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,resourceTags/user:Name,resourceTags/user:Owner,resourceTags/user:Project,resourceTags/user:Team,resourceTags/user:name,resourceTags/user:owner,resourceTags/user:protection,resourceTags/user:team,costCategory/AWS Support Plan by Org
xuelke5miyrhfisaezxlq2wiri7uqmhjxzaqk4nboqaace6faalq,2021-11-06T00:00:00Z/2021-11-07T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-06T06:00:00Z,2021-11-06T07:00:00Z,AmazonDynamoDB,CAN1-DataTransfer-Out-Bytes,DescribeLimits,,,0.0000002664,,,USD,0.0900000000,0.0000000240,0.0899359880,0.0000000240,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,,"Amazon Web Services, Inc.",Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada (Central),AWS Region,ca-central-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,,,,ca-central-1,,,,,,,,,,,AWSDataTransfer,AWS Data Transfer,CXWFSAS9ETSMBH2Y,,,,,,,,,,,,,,,External,Other,,,AWS Outbound,,,,CAN1-DataTransfer-Out-Bytes,,,,,,,,,CXWFSAS9ETSMBH2Y.JRTCKXETXF.WVV8R9FH29,5413858292,USD,0.0000000240,0.0900000000,OnDemand,GB,,,,,,,,,,6689367569,,,,,,,,,,,,,,,,,,,,,,,,
zmfh633jogsin4grjgqkru7aoj5wwzyfxv3nki6kjoyvrf6m7gkq,2021-11-11T00:00:00Z/2021-11-12T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-11T14:00:00Z,2021-11-11T15:00:00Z,AmazonS3,Requests-Tier2,ReadBucketPublicAccessBlock,,questqabucket,1.0000000000,,,USD,0.0000004000,0.0000004000,0.0000004000,0.0000004000,"$0.004 per 10,000 GET and all other requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Request,,,,,us-east-1,us-east-1,,,,,,,,,,AmazonS3,Amazon Simple Storage Service,ZWQ6Q48CRJXX4FXE,,,,,,,,,,,,,,,,,,,,,,,Requests-Tier2,,,,,,,,,ZWQ6Q48CRJXX4FXE.JRTCKXETXF.6YS6EN2CT7,5272967356,USD,0.0000004000,0.0000004000,OnDemand,Requests,,,,,,,,,,6689367298,,,,,,,,,,,,,,,,,,,,,,,,
slg7safujovrwlqdrvyzfieg27d73ll4ekjpudmrjd64adyoxoia,2021-11-12T00:00:00Z/2021-11-13T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-12T14:00:00Z,2021-11-12T15:00:00Z,AWSSecretsManager,USE1-AWSSecretsManagerAPIRequest,ListSecrets,,,1.0000000000,,,USD,0.0000050000,0.0000050000,0.0000050000,0.0000050000,$0.05 per 10000 API Requests,,"Amazon Web Services, Inc.",AWS Secrets Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AWSSecretsManager-APIRequest,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Request,,,,,us-east-1,us-east-1,,,,,,,,,,AWSSecretsManager,AWS Secrets Manager,4MDZ5VNEJPMUTG9B,,,,,,,,,,,,,,,,,,,,,,,USE1-AWSSecretsManagerAPIRequest,,,,,,,,,4MDZ5VNEJPMUTG9B.JRTCKXETXF.6YS6EN2CT7,5013453426,USD,0.0000050000,0.0000050000,OnDemand,API Requests,,,,,,,,,,2585886133,,,,,,,,,,,,,,,,,,,,,,,,
nl234lgio6wfer57w2bmfnkvfklss2j5mnxrrmdo6aj5g3y5lhqa,2021-11-11T00:00:00Z/2021-11-12T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-11T06:00:00Z,2021-11-11T19:00:00Z,AmazonS3,USW1-Requests-Tier1,PutObject,,qauswest,4.0000000000,,,USD,0.0000055000,0.0000220000,0.0000055000,0.0000220000,"$0.0055 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,,,,,,,,,,US West (N. California),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Request,,,,,us-west-1,us-west-1,,,,,,,,,,AmazonS3,Amazon Simple Storage Service,CE79BJ8EJA6B9EDP,,,,,,,,,,,,,,,,,,,,,,,USW1-Requests-Tier1,,,,,,,,,CE79BJ8EJA6B9EDP.JRTCKXETXF.6YS6EN2CT7,5272968069,USD,0.0000220000,0.0000055000,OnDemand,Requests,,,,,,,,,,6689367298,,,,,,,,,,,,,,,,,,,,,,,,
ut6cj4yu6uswijq7xizwdwy4q3dxwbmkkx7jk7r27hs46i5ak4mq,2021-11-26T00:00:00Z/2021-11-27T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-26T00:00:00Z,2021-11-27T00:00:00Z,AmazonRDS,InstanceUsage:db.t3.medium,CreateDBInstance:0002,us-east-1,arn:aws:rds:us-east-1:777297343458:db:database-1,24.0000000000,2,48.0000000000,USD,0.0680000000,1.6320000000,0.0680000000,1.6320000000,USD 0.068 per db.t3.medium Single-AZ instance hour (or partial hour) running MySQL,,"Amazon Web Services, Inc.",Amazon Relational Database Service,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,MySQL,,Single-AZ,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,General purpose,db.t3.medium,T3,,,,,,,No license required,US East (N. Virginia),AWS Region,,,,,,,,,,4 GiB,,,,,,,Low to Moderate,2,,CreateDBInstance:0002,,,,,,Intel Skylake E5 2686 v5 (2.5 GHz),,,,,,,,,,64-bit,,Database Instance,,,,,us-east-1,us-east-1,,,,,,,,,,AmazonRDS,Amazon Relational Database Service,TSK7J2Y3CBVXPUQ2,,,,EBS Only,,,,,,,,,,,,,,,,,,,InstanceUsage:db.t3.medium,,2,,,,,,,TSK7J2Y3CBVXPUQ2.JRTCKXETXF.6YS6EN2CT7,5382024786,USD,1.6320000000,0.0680000000,OnDemand,Hrs,,,,,,,,,,6689367509,,,,,,,,,,,,,,,,,,,,,,,,
rmsxpmn6q7cfgtlyfb6loumqc66a6sxpc4xi5wbialrbgnnkdvbq,2021-11-21T00:00:00Z/2021-11-22T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-21T00:00:00Z,2021-11-22T00:00:00Z,AmazonCloudWatch,USE2-CW:Requests,GetMetricStatistics,,,3888.0000000000,,,USD,0.0000100000,0.0388800000,0.0000100000,0.0388800000,"$0.01 per 1,000 requests",,"Amazon Web Services, Inc.",AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CW-Requests,CloudWatch API Requests,,,,,,,,,,,,,,US East (Ohio),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Request,,,,,us-east-2,us-east-2,,,,,,,,,,AmazonCloudWatch,AmazonCloudWatch,EPEDMD8JEQSJS958,,,,,,,,,,,,,,,,,,,,,,,USE2-CW:Requests,,,,,,,,,EPEDMD8JEQSJS958.JRTCKXETXF.6YS6EN2CT7,5414097651,USD,0.0388800000,0.0000100000,OnDemand,Requests,,,,,,,,,,1019505818,,,,,,,,,,,,,,,,,,,,,,,,
bbeyh45ewevfg5memvwesx2iocwyrxx3ep52qvqh3ftxuxk4vg6q,2021-11-14T00:00:00Z/2021-11-15T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-14T00:00:00Z,2021-11-15T00:00:00Z,AmazonCloudWatch,EUN1-CW:Requests,ListMetrics,,,288.0000000000,,,USD,0.0000100000,0.0028800000,0.0000100000,0.0028800000,"$0.01 per 1,000 requests",,"Amazon Web Services, Inc.",AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CW-Requests,CloudWatch API Requests,,,,,,,,,,,,,,EU (Stockholm),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Request,,,,,eu-north-1,eu-north-1,,,,,,,,,,AmazonCloudWatch,AmazonCloudWatch,HC85RVEHWWDD3CPS,,,,,,,,,,,,,,,,,,,,,,,EUN1-CW:Requests,,,,,,,,,HC85RVEHWWDD3CPS.JRTCKXETXF.6YS6EN2CT7,5414097881,USD,0.0028800000,0.0000100000,OnDemand,Requests,,,,,,,,,,1019505818,,,,,,,,,,,,,,,,,,,,,,,,
ewqn3twtu4fzk22izui2dqz3rtlqwjghfy6q5cgvvppuxusmy24q,2021-11-11T00:00:00Z/2021-11-12T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-11T16:00:00Z,2021-11-11T17:00:00Z,AmazonEC2,USE2-USW1-AWS-In-Bytes,PublicIP-In,,i-0607c812cd67cc21d,0.0000000559,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per GB - US East (Ohio) data transfer from US West (Northern California),,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US East (Ohio),AWS Region,us-east-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,,,,us-east-2,,,,,,,,,,,AWSDataTransfer,AWS Data Transfer,C3XQJFKSUZT2PD9A,,,,,,,,,,,,,,,US West (N. California),AWS Region,us-west-1,,InterRegion Inbound,,,,USE2-USW1-AWS-In-Bytes,,,,,,,,,C3XQJFKSUZT2PD9A.JRTCKXETXF.6YS6EN2CT7,5413858494,USD,0.0000000000,0.0000000000,OnDemand,GB,,,,,,,,,,6689367569,,,,,,,,,,,,,,,,ECS Instance - EC2ContainerService-linuxecscluster,,,,,,,,
eohpqdkrkmh3qz4i7obgh7cxcbjfcd3figcwsml6m36o646f336q,2021-11-10T00:00:00Z/2021-11-11T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-10T04:00:00Z,2021-11-10T05:00:00Z,AmazonEC2,USE2-SAE1-AWS-In-Bytes,PublicIP-In,,i-0607c812cd67cc21d,0.0000000373,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per GB - US East (Ohio) data transfer from South America (Sao Paulo),,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US East (Ohio),AWS Region,us-east-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,,,,us-east-2,,,,,,,,,,,AWSDataTransfer,AWS Data Transfer,DS2RTRSQTCZTY5VC,,,,,,,,,,,,,,,South America (Sao Paulo),AWS Region,sa-east-1,,InterRegion Inbound,,,,USE2-SAE1-AWS-In-Bytes,,,,,,,,,DS2RTRSQTCZTY5VC.JRTCKXETXF.6YS6EN2CT7,5413858021,USD,0.0000000000,0.0000000000,OnDemand,GB,,,,,,,,,,6689367569,,,,,,,,,,,,,,,,ECS Instance - EC2ContainerService-linuxecscluster,,,,,,,,
4vtmyy7afg2dyt2ypb2cstc5dtwpoxh5vcjry7vs5xlu5hk5i3xa,2021-11-03T00:00:00Z/2021-11-04T00:00:00Z,918514725,AWS,Anniversary,757424326803,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,777297343458,Usage,2021-11-03T14:00:00Z,2021-11-03T15:00:00Z,awskms,us-east-1-KMS-Requests,DescribeKey,,arn:aws:kms:us-east-1:777297343458:key/dfe2d563-823e-43a5-9159-975d39c171e5,1.0000000000,,,USD,0.0000030000,0.0000030000,0.0000030000,0.0000030000,$0.03 per 10000 KMS requests in US East (N. Virginia),,"Amazon Web Services, Inc.",AWS Key Management Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awskms-APIRequest-All,All AWS KMS API requests,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API Request,,,,,us-east-1,us-east-1,,,,,,,,,,awskms,AWS Key Management Service,MFEBZPX8NHM5FY7Z,,,,,,,,,,,,,,,,,,,,,,,us-east-1-KMS-Requests,,,,,,,,,MFEBZPX8NHM5FY7Z.JRTCKXETXF.6YS6EN2CT7,4998116282,USD,0.0000030000,0.0000030000,OnDemand,Requests,,,,,,,,,,1019505832,,,,,,,,,,,,,,,,,,,,,,,,
